Wavelength [nm],Intensity [a.u.]
924.2496929795016,994.0
924.3876068453427,994.0
924.5254788852287,1021.0
924.6633090426859,998.0
924.8010972612406,994.0
924.9388434844191,987.0
925.0765476557476,1002.0
925.2142097187527,975.0
925.3518296169605,994.0
925.4894072938972,994.0
925.6269426930894,990.0
925.7644357580631,979.0
925.9018864323448,998.0
926.0392946594607,983.0
926.1766603829371,998.0
926.3139835463005,998.0
926.451264093077,983.0
926.588501966793,1006.0
926.7256971109748,994.0
926.8628494691486,1002.0
926.9999589848408,990.0
927.1370256015776,983.0
927.2740492628855,994.0
927.4110299122907,994.0
927.5479674933194,1006.0
927.6848619494981,1002.0
927.8217132243531,994.0
927.9585212614104,1013.0
928.0952860041966,1002.0
928.2320073962379,983.0
928.3686853810607,990.0
928.5053199021912,1006.0
928.6419109031558,998.0
928.7784583274807,1006.0
928.9149621186923,990.0
929.0514222203168,994.0
929.1878385758805,998.0
929.3242111289098,994.0
929.460539822931,1009.0
929.5968246014704,983.0
929.7330654080542,994.0
929.8692621862089,994.0
930.0054148794607,1002.0
930.1415234313357,1006.0
930.2775877853605,1002.0
930.4136078850613,998.0
930.5495836739644,987.0
930.6855150955962,1002.0
930.8214020934829,1013.0
930.9572446111508,975.0
931.0930425921263,1017.0
931.2287959799355,987.0
931.3645047181049,1002.0
931.5001687501607,983.0
931.6357880196292,994.0
931.7713624700369,998.0
931.9068920449099,1002.0
932.0423766877745,998.0
932.1778163421573,990.0
932.3132109515841,998.0
932.4485604595816,994.0
932.5838648096759,994.0
932.7191239453934,990.0
932.8543378102605,1009.0
932.9895063478034,1002.0
933.1246295015484,1002.0
933.2597072150218,1017.0
933.3947394317498,994.0
933.5297260952589,994.0
933.6646671490753,1002.0
933.7995625367253,990.0
933.9344122017353,998.0
934.0692160876315,990.0
934.2039741379402,994.0
934.3386862961879,998.0
934.4733525059006,983.0
934.6079727106048,1009.0
934.7425468538268,998.0
934.8770748790928,1002.0
935.0115567299292,983.0
935.1459923498624,1006.0
935.2803816824185,990.0
935.4147246711238,994.0
935.5490212595048,1002.0
935.6832713910876,994.0
935.8174750093987,1002.0
935.9516320579642,1021.0
936.0857424803106,1009.0
936.2198062199641,983.0
936.353823220451,1006.0
936.4877934252977,994.0
936.6217167780303,1000.0
936.7555932221753,983.0
936.8894227012589,994.0
937.0232051588075,998.0
937.1569405383474,1013.0
937.2906287834048,1002.0
937.4242698375061,1006.0
937.5578636441776,1013.0
937.6914101469455,990.0
937.8249092893361,1009.0
937.9583610148759,998.0
938.091765267091,998.0
938.2251219895079,1006.0
938.3584311256527,990.0
938.4916926190518,983.0
938.6249064132317,994.0
938.7580724517182,1006.0
938.8911906780381,998.0
939.0242610357175,990.0
939.1572834682827,1006.0
939.2902579192601,987.0
939.4231843321759,987.0
939.5560626505564,1002.0
939.688892817928,1002.0
939.821674777817,990.0
939.9544084737495,990.0
940.087093849252,1002.0
940.2197308478508,994.0
940.3523194130722,994.0
940.4848594884425,1013.0
940.6173510174879,1013.0
940.7497939437349,1002.0
940.8821882107095,1006.0
941.0145337619383,987.0
941.1468305409475,994.0
941.2790784912634,987.0
941.4112775564123,994.0
941.5434276799206,1006.0
941.6755288053145,990.0
941.8075808761203,994.0
941.9395838358643,994.0
942.0715376280727,1002.0
942.2034421962721,1002.0
942.3352974839886,1006.0
942.4671034347487,1013.0
942.5988599920784,1002.0
942.7305670995041,1002.0
942.8622247005524,994.0
942.9938327387491,1002.0
943.1253911576209,990.0
943.256899900694,994.0
943.3883589114946,1006.0
943.5197681335492,1006.0
943.651127510384,990.0
943.7824369855252,1002.0
943.9136965024993,994.0
944.0449060048325,990.0
